SyNG-BTS实验记录
格式: 癌症种类-标准化方法-batch编号-增强方法-状态|时间戳|耗时|完成比例|已完成/总数
READ-raw-batch5-None-success|2025-10-22 22:28:06|0:00:32|51.9%|249/480
READ-raw-batch6-AE_head-success|2025-10-22 22:29:02|0:00:56|52.1%|250/480
READ-raw-batch6-None-success|2025-10-22 22:29:37|0:00:34|52.3%|251/480
READ-raw-batch7-AE_head-success|2025-10-22 22:30:32|0:00:55|52.5%|252/480
READ-raw-batch7-None-success|2025-10-22 22:31:04|0:00:31|52.7%|253/480
READ-raw-batch8-AE_head-success|2025-10-22 22:31:59|0:00:55|52.9%|254/480
READ-raw-batch8-None-success|2025-10-22 22:32:32|0:00:32|53.1%|255/480
READ-raw-batch9-AE_head-success|2025-10-22 22:33:30|0:00:58|53.3%|256/480
READ-raw-batch9-None-success|2025-10-22 22:34:02|0:00:31|53.5%|257/480
READ-raw-batch10-AE_head-success|2025-10-22 22:34:58|0:00:56|53.8%|258/480
READ-raw-batch10-None-success|2025-10-22 22:35:30|0:00:31|54.0%|259/480
READ-raw-batch11-AE_head-success|2025-10-22 22:36:25|0:00:55|54.2%|260/480
READ-raw-batch11-None-success|2025-10-22 22:36:57|0:00:31|54.4%|261/480
READ-raw-batch12-AE_head-success|2025-10-22 22:37:52|0:00:55|54.6%|262/480
READ-raw-batch12-None-success|2025-10-22 22:38:25|0:00:32|54.8%|263/480
READ-raw-batch13-AE_head-success|2025-10-22 22:39:20|0:00:54|55.0%|264/480
READ-raw-batch13-None-success|2025-10-22 22:39:51|0:00:31|55.2%|265/480
READ-raw-batch14-AE_head-success|2025-10-22 22:41:03|0:01:11|55.4%|266/480
READ-raw-batch14-None-success|2025-10-22 22:41:34|0:00:31|55.6%|267/480
READ-raw-batch15-AE_head-success|2025-10-22 22:42:28|0:00:53|55.8%|268/480
READ-raw-batch15-None-success|2025-10-22 22:42:59|0:00:31|56.0%|269/480
READ-raw-batch16-AE_head-success|2025-10-22 22:43:53|0:00:53|56.2%|270/480
READ-raw-batch16-None-success|2025-10-22 22:44:25|0:00:31|56.5%|271/480
READ-raw-batch17-AE_head-success|2025-10-22 22:45:19|0:00:54|56.7%|272/480
READ-raw-batch17-None-success|2025-10-22 22:45:50|0:00:31|56.9%|273/480
READ-raw-batch18-AE_head-success|2025-10-22 22:46:44|0:00:53|57.1%|274/480
READ-raw-batch18-None-success|2025-10-22 22:47:15|0:00:31|57.3%|275/480
READ-raw-batch19-AE_head-success|2025-10-22 22:48:09|0:00:53|57.5%|276/480
READ-raw-batch19-None-success|2025-10-22 22:48:40|0:00:31|57.7%|277/480
READ-raw-batch20-AE_head-success|2025-10-22 22:49:34|0:00:53|57.9%|278/480
READ-raw-batch20-None-success|2025-10-22 22:50:05|0:00:31|58.1%|279/480
READ-TC-batch1-AE_head-success|2025-10-22 22:50:59|0:00:53|58.3%|280/480
READ-TC-batch1-None-success|2025-10-22 22:51:31|0:00:31|58.5%|281/480
READ-TC-batch2-AE_head-success|2025-10-22 22:52:25|0:00:54|58.8%|282/480
READ-TC-batch2-None-success|2025-10-22 22:52:56|0:00:31|59.0%|283/480
READ-TC-batch3-AE_head-success|2025-10-22 22:53:50|0:00:53|59.2%|284/480
READ-TC-batch3-None-success|2025-10-22 22:54:22|0:00:31|59.4%|285/480
READ-TC-batch4-AE_head-success|2025-10-22 22:55:16|0:00:53|59.6%|286/480
READ-TC-batch4-None-success|2025-10-22 22:55:47|0:00:31|59.8%|287/480
READ-TC-batch5-AE_head-success|2025-10-22 22:56:41|0:00:54|60.0%|288/480
READ-TC-batch5-None-success|2025-10-22 22:57:13|0:00:31|60.2%|289/480
READ-TC-batch6-AE_head-success|2025-10-22 22:58:08|0:00:55|60.4%|290/480
READ-TC-batch6-None-success|2025-10-22 22:58:40|0:00:32|60.6%|291/480
READ-TC-batch7-AE_head-success|2025-10-22 22:59:36|0:00:55|60.8%|292/480
READ-TC-batch7-None-success|2025-10-22 23:00:09|0:00:33|61.0%|293/480
READ-TC-batch8-AE_head-success|2025-10-22 23:01:06|0:00:57|61.3%|294/480
READ-TC-batch8-None-success|2025-10-22 23:01:40|0:00:34|61.5%|295/480
READ-TC-batch9-AE_head-success|2025-10-22 23:02:36|0:00:55|61.7%|296/480
READ-TC-batch9-None-success|2025-10-22 23:03:08|0:00:32|61.9%|297/480
READ-TC-batch10-AE_head-success|2025-10-22 23:04:04|0:00:55|62.1%|298/480
READ-TC-batch10-None-success|2025-10-22 23:04:38|0:00:33|62.3%|299/480
READ-TC-batch11-AE_head-success|2025-10-22 23:05:33|0:00:54|62.5%|300/480
READ-TC-batch11-None-success|2025-10-22 23:06:05|0:00:32|62.7%|301/480
READ-TC-batch12-AE_head-success|2025-10-22 23:07:23|0:01:18|62.9%|302/480
