SyNG-BTS实验记录 - PAAD_5-2和READ_5-2
格式: 癌症种类-标准化方法-batch编号-增强方法-状态|时间戳|耗时|完成比例|已完成/总数
PAAD_5-2-DESeq-batch1-AE_head-success|2025-11-06 20:56:09|0:01:06|33.3%|120/360
PAAD_5-2-DESeq-batch1-None-success|2025-11-06 20:56:44|0:00:34|33.6%|121/360
PAAD_5-2-DESeq-batch1-Gaussian_head-success|2025-11-06 20:57:33|0:00:48|33.9%|122/360
PAAD_5-2-DESeq-batch2-AE_head-success|2025-11-06 20:58:36|0:01:03|34.2%|123/360
PAAD_5-2-DESeq-batch2-None-success|2025-11-06 20:59:11|0:00:34|34.4%|124/360
PAAD_5-2-DESeq-batch2-Gaussian_head-success|2025-11-06 21:00:00|0:00:48|34.7%|125/360
PAAD_5-2-DESeq-batch3-AE_head-success|2025-11-06 21:01:04|0:01:04|35.0%|126/360
PAAD_5-2-DESeq-batch3-None-success|2025-11-06 21:01:38|0:00:33|35.3%|127/360
PAAD_5-2-DESeq-batch3-Gaussian_head-success|2025-11-06 21:02:27|0:00:49|35.6%|128/360
PAAD_5-2-DESeq-batch4-AE_head-success|2025-11-06 21:03:30|0:01:03|35.8%|129/360
PAAD_5-2-DESeq-batch4-None-success|2025-11-06 21:04:04|0:00:33|36.1%|130/360
PAAD_5-2-DESeq-batch4-Gaussian_head-success|2025-11-06 21:04:53|0:00:48|36.4%|131/360
PAAD_5-2-DESeq-batch5-AE_head-success|2025-11-06 21:05:56|0:01:03|36.7%|132/360
PAAD_5-2-DESeq-batch5-None-success|2025-11-06 21:06:30|0:00:33|36.9%|133/360
PAAD_5-2-DESeq-batch5-Gaussian_head-success|2025-11-06 21:07:19|0:00:48|37.2%|134/360
PAAD_5-2-DESeq-batch6-AE_head-success|2025-11-06 21:08:22|0:01:03|37.5%|135/360
PAAD_5-2-DESeq-batch6-None-success|2025-11-06 21:08:56|0:00:33|37.8%|136/360
PAAD_5-2-DESeq-batch6-Gaussian_head-success|2025-11-06 21:09:48|0:00:52|38.1%|137/360
PAAD_5-2-DESeq-batch7-AE_head-success|2025-11-06 21:10:52|0:01:03|38.3%|138/360
PAAD_5-2-DESeq-batch7-None-success|2025-11-06 21:11:26|0:00:34|38.6%|139/360
PAAD_5-2-DESeq-batch7-Gaussian_head-success|2025-11-06 21:12:15|0:00:48|38.9%|140/360
PAAD_5-2-DESeq-batch8-AE_head-success|2025-11-06 21:13:18|0:01:03|39.2%|141/360
PAAD_5-2-DESeq-batch8-None-success|2025-11-06 21:13:53|0:00:34|39.4%|142/360
PAAD_5-2-DESeq-batch8-Gaussian_head-success|2025-11-06 21:14:41|0:00:48|39.7%|143/360
PAAD_5-2-DESeq-batch9-AE_head-success|2025-11-06 21:15:45|0:01:03|40.0%|144/360
PAAD_5-2-DESeq-batch9-None-success|2025-11-06 21:16:19|0:00:34|40.3%|145/360
PAAD_5-2-DESeq-batch9-Gaussian_head-success|2025-11-06 21:17:07|0:00:48|40.6%|146/360
PAAD_5-2-DESeq-batch10-AE_head-success|2025-11-06 21:18:10|0:01:03|40.8%|147/360
PAAD_5-2-DESeq-batch10-None-success|2025-11-06 21:18:45|0:00:34|41.1%|148/360
PAAD_5-2-DESeq-batch10-Gaussian_head-success|2025-11-06 21:19:33|0:00:48|41.4%|149/360
PAAD_5-2-DESeq-batch11-AE_head-success|2025-11-06 21:20:36|0:01:03|41.7%|150/360
PAAD_5-2-DESeq-batch11-None-success|2025-11-06 21:21:10|0:00:33|41.9%|151/360
PAAD_5-2-DESeq-batch11-Gaussian_head-success|2025-11-06 21:21:58|0:00:48|42.2%|152/360
PAAD_5-2-DESeq-batch12-AE_head-success|2025-11-06 21:23:07|0:01:08|42.5%|153/360
PAAD_5-2-DESeq-batch12-None-success|2025-11-06 21:23:41|0:00:34|42.8%|154/360
PAAD_5-2-DESeq-batch12-Gaussian_head-success|2025-11-06 21:24:30|0:00:48|43.1%|155/360
PAAD_5-2-DESeq-batch13-AE_head-success|2025-11-06 21:25:39|0:01:08|43.3%|156/360
PAAD_5-2-DESeq-batch13-None-success|2025-11-06 21:26:13|0:00:34|43.6%|157/360
PAAD_5-2-DESeq-batch13-Gaussian_head-success|2025-11-06 21:27:02|0:00:48|43.9%|158/360
PAAD_5-2-DESeq-batch14-AE_head-success|2025-11-06 21:28:06|0:01:03|44.2%|159/360
PAAD_5-2-DESeq-batch14-None-success|2025-11-06 21:28:40|0:00:34|44.4%|160/360
PAAD_5-2-DESeq-batch14-Gaussian_head-success|2025-11-06 21:29:29|0:00:48|44.7%|161/360
PAAD_5-2-DESeq-batch15-AE_head-success|2025-11-06 21:30:32|0:01:03|45.0%|162/360
PAAD_5-2-DESeq-batch15-None-success|2025-11-06 21:31:06|0:00:34|45.3%|163/360
PAAD_5-2-DESeq-batch15-Gaussian_head-success|2025-11-06 21:31:54|0:00:48|45.6%|164/360
PAAD_5-2-DESeq-batch16-AE_head-success|2025-11-06 21:32:58|0:01:03|45.8%|165/360
PAAD_5-2-DESeq-batch16-None-success|2025-11-06 21:33:32|0:00:33|46.1%|166/360
PAAD_5-2-DESeq-batch16-Gaussian_head-success|2025-11-06 21:34:20|0:00:48|46.4%|167/360
PAAD_5-2-DESeq-batch17-AE_head-success|2025-11-06 21:35:23|0:01:03|46.7%|168/360
PAAD_5-2-DESeq-batch17-None-success|2025-11-06 21:35:57|0:00:33|46.9%|169/360
PAAD_5-2-DESeq-batch17-Gaussian_head-success|2025-11-06 21:36:45|0:00:48|47.2%|170/360
PAAD_5-2-DESeq-batch18-AE_head-success|2025-11-06 21:37:48|0:01:02|47.5%|171/360
PAAD_5-2-DESeq-batch18-None-success|2025-11-06 21:38:21|0:00:33|47.8%|172/360
PAAD_5-2-DESeq-batch18-Gaussian_head-success|2025-11-06 21:39:10|0:00:48|48.1%|173/360
PAAD_5-2-DESeq-batch19-AE_head-success|2025-11-06 21:40:13|0:01:03|48.3%|174/360
PAAD_5-2-DESeq-batch19-None-success|2025-11-06 21:40:47|0:00:33|48.6%|175/360
PAAD_5-2-DESeq-batch19-Gaussian_head-success|2025-11-06 21:41:35|0:00:48|48.9%|176/360
PAAD_5-2-DESeq-batch20-AE_head-success|2025-11-06 21:42:39|0:01:03|49.2%|177/360
PAAD_5-2-DESeq-batch20-None-success|2025-11-06 21:43:19|0:00:39|49.4%|178/360
PAAD_5-2-DESeq-batch20-Gaussian_head-success|2025-11-06 21:44:08|0:00:49|49.7%|179/360
READ_5-2-raw-batch1-AE_head-success|2025-11-06 21:45:09|0:01:00|50.0%|180/360
READ_5-2-raw-batch1-None-success|2025-11-06 21:45:42|0:00:33|50.3%|181/360
READ_5-2-raw-batch1-Gaussian_head-success|2025-11-06 21:46:27|0:00:44|50.6%|182/360
READ_5-2-raw-batch2-AE_head-success|2025-11-06 21:47:26|0:00:59|50.8%|183/360
READ_5-2-raw-batch2-None-success|2025-11-06 21:47:59|0:00:32|51.1%|184/360
READ_5-2-raw-batch2-Gaussian_head-success|2025-11-06 21:48:43|0:00:44|51.4%|185/360
READ_5-2-raw-batch3-AE_head-success|2025-11-06 21:49:43|0:00:59|51.7%|186/360
READ_5-2-raw-batch3-None-success|2025-11-06 21:50:16|0:00:32|51.9%|187/360
READ_5-2-raw-batch3-Gaussian_head-success|2025-11-06 21:51:00|0:00:44|52.2%|188/360
READ_5-2-raw-batch4-AE_head-success|2025-11-06 21:52:00|0:00:59|52.5%|189/360
READ_5-2-raw-batch4-None-success|2025-11-06 21:52:33|0:00:33|52.8%|190/360
READ_5-2-raw-batch4-Gaussian_head-success|2025-11-06 21:53:17|0:00:44|53.1%|191/360
READ_5-2-raw-batch5-AE_head-success|2025-11-06 21:54:17|0:00:59|53.3%|192/360
READ_5-2-raw-batch5-None-success|2025-11-06 21:54:50|0:00:33|53.6%|193/360
READ_5-2-raw-batch5-Gaussian_head-success|2025-11-06 21:55:34|0:00:43|53.9%|194/360
READ_5-2-raw-batch6-AE_head-success|2025-11-06 21:56:33|0:00:59|54.2%|195/360
READ_5-2-raw-batch6-None-success|2025-11-06 21:57:06|0:00:32|54.4%|196/360
READ_5-2-raw-batch6-Gaussian_head-success|2025-11-06 21:57:50|0:00:44|54.7%|197/360
READ_5-2-raw-batch7-AE_head-success|2025-11-06 21:58:50|0:00:59|55.0%|198/360
READ_5-2-raw-batch7-None-success|2025-11-06 21:59:22|0:00:32|55.3%|199/360
READ_5-2-raw-batch7-Gaussian_head-success|2025-11-06 22:00:06|0:00:43|55.6%|200/360
READ_5-2-raw-batch8-AE_head-success|2025-11-06 22:01:05|0:00:59|55.8%|201/360
READ_5-2-raw-batch8-None-success|2025-11-06 22:01:38|0:00:32|56.1%|202/360
READ_5-2-raw-batch8-Gaussian_head-success|2025-11-06 22:02:28|0:00:49|56.4%|203/360
READ_5-2-raw-batch9-AE_head-success|2025-11-06 22:03:28|0:00:59|56.7%|204/360
READ_5-2-raw-batch9-None-success|2025-11-06 22:04:01|0:00:32|56.9%|205/360
READ_5-2-raw-batch9-Gaussian_head-success|2025-11-06 22:04:44|0:00:43|57.2%|206/360
READ_5-2-raw-batch10-AE_head-success|2025-11-06 22:05:44|0:00:59|57.5%|207/360
READ_5-2-raw-batch10-None-success|2025-11-06 22:06:17|0:00:32|57.8%|208/360
READ_5-2-raw-batch10-Gaussian_head-success|2025-11-06 22:07:00|0:00:43|58.1%|209/360
READ_5-2-raw-batch11-AE_head-success|2025-11-06 22:08:00|0:00:59|58.3%|210/360
READ_5-2-raw-batch11-None-success|2025-11-06 22:08:32|0:00:32|58.6%|211/360
READ_5-2-raw-batch11-Gaussian_head-success|2025-11-06 22:09:16|0:00:43|58.9%|212/360
READ_5-2-raw-batch12-AE_head-success|2025-11-06 22:10:15|0:00:59|59.2%|213/360
READ_5-2-raw-batch12-None-success|2025-11-06 22:10:48|0:00:32|59.4%|214/360
READ_5-2-raw-batch12-Gaussian_head-success|2025-11-06 22:11:32|0:00:43|59.7%|215/360
READ_5-2-raw-batch13-AE_head-success|2025-11-06 22:12:32|0:00:59|60.0%|216/360
READ_5-2-raw-batch13-None-success|2025-11-06 22:13:04|0:00:32|60.3%|217/360
READ_5-2-raw-batch13-Gaussian_head-success|2025-11-06 22:13:48|0:00:43|60.6%|218/360
READ_5-2-raw-batch14-AE_head-success|2025-11-06 22:14:48|0:00:59|60.8%|219/360
READ_5-2-raw-batch14-None-success|2025-11-06 22:15:20|0:00:32|61.1%|220/360
READ_5-2-raw-batch14-Gaussian_head-success|2025-11-06 22:16:04|0:00:43|61.4%|221/360
READ_5-2-raw-batch15-AE_head-success|2025-11-06 22:17:03|0:00:59|61.7%|222/360
READ_5-2-raw-batch15-None-success|2025-11-06 22:17:36|0:00:32|61.9%|223/360
READ_5-2-raw-batch15-Gaussian_head-success|2025-11-06 22:18:20|0:00:43|62.2%|224/360
READ_5-2-raw-batch16-AE_head-success|2025-11-06 22:19:19|0:00:59|62.5%|225/360
READ_5-2-raw-batch16-None-success|2025-11-06 22:19:52|0:00:32|62.8%|226/360
READ_5-2-raw-batch16-Gaussian_head-success|2025-11-06 22:20:36|0:00:43|63.1%|227/360
READ_5-2-raw-batch17-AE_head-success|2025-11-06 22:21:35|0:00:59|63.3%|228/360
READ_5-2-raw-batch17-None-success|2025-11-06 22:22:08|0:00:32|63.6%|229/360
READ_5-2-raw-batch17-Gaussian_head-success|2025-11-06 22:22:52|0:00:44|63.9%|230/360
READ_5-2-raw-batch18-AE_head-success|2025-11-06 22:24:01|0:01:09|64.2%|231/360
READ_5-2-raw-batch18-None-success|2025-11-06 22:24:34|0:00:33|64.4%|232/360
READ_5-2-raw-batch18-Gaussian_head-success|2025-11-06 22:25:18|0:00:44|64.7%|233/360
READ_5-2-raw-batch19-AE_head-success|2025-11-06 22:26:18|0:01:00|65.0%|234/360
READ_5-2-raw-batch19-None-success|2025-11-06 22:26:51|0:00:32|65.3%|235/360
READ_5-2-raw-batch19-Gaussian_head-success|2025-11-06 22:27:35|0:00:43|65.6%|236/360
READ_5-2-raw-batch20-AE_head-success|2025-11-06 22:28:35|0:00:59|65.8%|237/360
READ_5-2-raw-batch20-None-success|2025-11-06 22:29:07|0:00:32|66.1%|238/360
READ_5-2-raw-batch20-Gaussian_head-success|2025-11-06 22:29:51|0:00:43|66.4%|239/360
READ_5-2-TC-batch1-AE_head-success|2025-11-06 22:30:51|0:00:59|66.7%|240/360
READ_5-2-TC-batch1-None-success|2025-11-06 22:31:23|0:00:32|66.9%|241/360
READ_5-2-TC-batch1-Gaussian_head-success|2025-11-06 22:32:07|0:00:43|67.2%|242/360
READ_5-2-TC-batch2-AE_head-success|2025-11-06 22:33:07|0:00:59|67.5%|243/360
READ_5-2-TC-batch2-None-success|2025-11-06 22:33:39|0:00:32|67.8%|244/360
READ_5-2-TC-batch2-Gaussian_head-success|2025-11-06 22:34:23|0:00:43|68.1%|245/360
READ_5-2-TC-batch3-AE_head-success|2025-11-06 22:35:23|0:00:59|68.3%|246/360
READ_5-2-TC-batch3-None-success|2025-11-06 22:35:55|0:00:32|68.6%|247/360
READ_5-2-TC-batch3-Gaussian_head-success|2025-11-06 22:36:39|0:00:43|68.9%|248/360
READ_5-2-TC-batch4-AE_head-success|2025-11-06 22:37:38|0:00:59|69.2%|249/360
READ_5-2-TC-batch4-None-success|2025-11-06 22:38:11|0:00:32|69.4%|250/360
READ_5-2-TC-batch4-Gaussian_head-success|2025-11-06 22:38:54|0:00:43|69.7%|251/360
READ_5-2-TC-batch5-AE_head-success|2025-11-06 22:39:54|0:00:59|70.0%|252/360
READ_5-2-TC-batch5-None-success|2025-11-06 22:40:27|0:00:32|70.3%|253/360
READ_5-2-TC-batch5-Gaussian_head-success|2025-11-06 22:41:10|0:00:43|70.6%|254/360
READ_5-2-TC-batch6-AE_head-success|2025-11-06 22:42:09|0:00:59|70.8%|255/360
READ_5-2-TC-batch6-None-success|2025-11-06 22:42:42|0:00:32|71.1%|256/360
READ_5-2-TC-batch6-Gaussian_head-success|2025-11-06 22:43:26|0:00:43|71.4%|257/360
READ_5-2-TC-batch7-AE_head-success|2025-11-06 22:44:25|0:00:59|71.7%|258/360
READ_5-2-TC-batch7-None-success|2025-11-06 22:44:58|0:00:32|71.9%|259/360
READ_5-2-TC-batch7-Gaussian_head-success|2025-11-06 22:45:42|0:00:43|72.2%|260/360
READ_5-2-TC-batch8-AE_head-success|2025-11-06 22:46:41|0:00:59|72.5%|261/360
READ_5-2-TC-batch8-None-success|2025-11-06 22:47:27|0:00:46|72.8%|262/360
READ_5-2-TC-batch8-Gaussian_head-success|2025-11-06 22:48:11|0:00:44|73.1%|263/360
READ_5-2-TC-batch9-AE_head-success|2025-11-06 22:49:11|0:00:59|73.3%|264/360
READ_5-2-TC-batch9-None-success|2025-11-06 22:49:44|0:00:32|73.6%|265/360
READ_5-2-TC-batch9-Gaussian_head-success|2025-11-06 22:50:28|0:00:43|73.9%|266/360
READ_5-2-TC-batch10-AE_head-success|2025-11-06 22:51:27|0:00:59|74.2%|267/360
READ_5-2-TC-batch10-None-success|2025-11-06 22:52:00|0:00:32|74.4%|268/360
